PRZYWITANIA/POŻEGNANIA/ZWROTY GRZECZNOŚCIOWE ,GREETINGS/ FAREWELLS/SALUTATIONS,BEGRÜßUNGEN / VERABSCHIEDUNGEN / HÖFLICHKEITSFORMEN,ПРИВЕТСТВИЯ/ПРОЩАНИЯ,ПРИВІТАННЯ/ПРОЩАВАННЯ,SELAMLAŞMA/UĞURLAMA/HİTAP
Cześć! ,Hello! Hi!,Hallo!,Привет!,Привіт!,Merhaba! Selam!
Dzień dobry! ,Good morning!,Guten Tag!,Добрый день!,Добрий день!,Günaydın!
Dobry wieczór!,Good evening!,Guten Abend!,Добрый вечер!,Добрий вечір!,İyi akşamlar!
Jak się masz? ,How are you?,Wie geht es dir?,Как дела?,Як справи?,Nasılsınız?
Pa! (Papa!),Bye! (Bye bye!),Tschüss!,Пока! (Пока-пока! / Бывай!),Бувай! (Пока-пока!),Bay! (Bay bay!)
Do zobaczenia!,See you later!,Bis bald!,До свидания!,До побачення!,Sonra görüşürüz!
Do widzenia! ,Goodbye! ,Auf Wiedersehen!,До свидания!,До побачення!,Görüşürüz!
Dobranoc! ,Goodnight!,Gute Nacht!,Спокойной ночи!,Добраніч!,İyi geceler!
Miłego dnia! ,Have a good day!,Schönen Tag!,Хорошего дня!,Гарного дня!,İyi günler!
Proszę. ,Please. / Here you go. / Here you are.,Bitte. / Bitte sehr. ,Пожалуйста.,Будь ласка.,Lütfen / Buyurun
Dziękuję.,Thank you. ,Danke [schön]. ,Спасибо.,Дякую.,Teşekkürler
Przepraszam. ,I am sorry. / Excuse me.,Es tut mir leid. / Entschuldigung.,Извини.,Вибач.,Pardon.
Smacznego!,Bon Apetit! / Enjoy your meal!,Guten Appetit! ,Приятного аппетита!,Смачного!,Afiyet olsun!
Na zdrowie. ,Bless you.,Gesundheit!,Будь здоров (-а).,Будь здоровий/здорова.,Çok yaşa.
Zdrowie! ,Cheers! ,Prost!,На здоровье!,Будьмо!,Şerefe!
,,,,,
NOWA ZNAJOMOŚĆ,MEETING PEOPLE,LEUTE TREFFEN,НОВЫЕ ЗНАКОМСТВА,НОВІ ЗНАЙОМСТВА,İNSANLARLA TANIŞMA
Miło mi Cię poznać. ,Nice to meet you. ,"Es freut mich, dich kennenzulernen!",Приятно познакомиться.,Приємно познайомитись.,Tanıştığıma memnun oldum.
Jak się nazywasz?,What is your name? ,Wie heißt du? ,Как тебя зовут?,Як тебе звати?,Adın nedir?
Nazywam się ...,My name is ...,Mein Name ist ...,Меня зовут...,Мене звати...,Benim adım...
Skąd jesteś? ,Where are you from? ,Woher kommst du? ,Откуда ты?,Звідки ти?,Nerelisin?
Jestem z Polski. ,I am from Poland. ,Ich komme aus Polen. ,Я из Польши.,Я з Польщі.,Polonyalıyım.
Gdzie mieszkasz? ,Where do you live? ,Wo wohnst du? ,Где ты живёшь?,Де ти мешкаєш?,Nerede yaşıyorsun?
Mieszkam w Słupsku. ,I live in Slupsk. ,Ich wohne in Slupsk. ,Я живу в Слупске.,Я мешкаю в Слупську.,Slupskta yaşıyorum.
Mieszkam w pokoju ....,I live in room number ....,Ich wohne im Zimmer Nummer ....,Я живу в комнате номер...,Я мешкаю в кімнаті...,... numaralı odada yaşıyorum.
,,,,,
INNE POMOCNE ZWROTY,OTHER HELPFUL PHRASES,ANDERE HILFREICHE SÄTZE,ДРУГИЕ ПОЛЕЗНЫЕ ФРАЗЫ,ІНШІ КОРИСНІ ФРАЗИ,DİĞER YARDIMCI İFADELER
Tak ,Yes,Ja,Да,Так,Evet
Nie ,No ,Nein,Нет,Ні,Hayır
Która (jest) godzina? ,What time is it? ,Wie viel Uhr ist es? (Wie spät ist es ?),Который час?,Котра година?,Saat kaç?
Nie rozumiem. ,I do not understand. ,Ich verstehe nicht. ,Я не понимаю.,Я не розумію.,Anlamıyorum.
Czy możesz mówić wolnej? ,"Can you speak more slowly, please? ",Kannst du bitte langsamer sprechen?,Можешь ли ты говорить помедленее?,Чи можеш говорити повільніше?,Daha yavaş konuşabilir misiniz lütfen?
Czy możesz powtórzyć?,"Can you repeat that, please?",Kannst du das wiederholen? ,Можешь ли ты повторить?,Чи можеш повторити?,Tekrarlayabilir misiniz lütfen?
Czy mówisz po angielsku? ,Do you speak English? ,Sprichst du Englisch? ,Ты говоришь по-английски?,Ти розмовляєш англійською?,İngilizce biliyor musunuz?
Nie mówię po polsku. ,I do not speak Polish. ,Ich spreche kein Polnisch. ,Я не говорю по-польски.,Я не розмовляю польсьскою.,Lehçe bilmiyorum.
Mam problem.,I have a problem.,Ich habe ein Problem.,У меня проблема.,У мене проблема.,Bir sorunum var.
Czy możesz mi pomóc?,Can you help me?,Kannst du mir helfen? ,Можешь мне помочь?,Можеш мені допомогти?,Yardım edebilir misiniz?
Potrzebuję...,I need...,Ich brauche...,Мне нужно...,Мені потрібно...,... ihtiyacım var.
Szukam... ,I'm looking for...,Ich suche...,Я ищу...,Я шукаю...,... 'a/e bakıyorum.
Gdzie jest...?,Where is...?,Wo ist ...?,Где...?,Де...?,... nerede?
Gdzie znajduje się kantor? ,Where is the currency exchange?,Wo ist die Wechselstube?,Где обмен валют?,Де обмін валют?,Döviz bürosu nerede?
Gdzie znajduje się toaleta? ,Where is the toilet? ,Wo ist die Toilette? ,Где туалет?,Де туалет? ,Tuvalet nerede?
Gdzie jest darmowe WiFi?,Where is free WiFi?,Wo ist kostenloses WiFi?,Где бесплатный WiFi?,Де безкоштовний WiFi?,Ücretsiz WiFi nerede?
Czy masz numer na taksówkę?,Have you got a taxi number?,Hast du eine Taxinummer?,У тебя есть номер такси?,У тебе є номер таксі?,Taksinin numarasını biliyor musunuz?
Numer telefonu komórkowego,Mobile phone number ,die Handynummer,Номер мобильного телефона,Номер мобільного телефона,Cep telefon numarası
,,,,,
ZAKUPY/PIENIĄDZE,SHOPPING/MONEY,EINKÄUFE/GELD,ШОППИНГ/ДЕНЬГИ,ШОПІНГ/ГРОШІ,ALIŞVERİŞ/PARA
Bankomat ,ATM / cash machine/ cash point ,der Geldautomat,Банкомат,Банкомат,Bankamatik
